Country/Other,Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
Afghanistan,225850,7946,206436,11468,5542,195,1305526.0,32034.0,40754388
Armenia,449357,8751,435162,5444,151199,2945,3242901.0,1091164.0,2971966
Azerbaijan,832580,10302,822131,147,80831,1000,7680488.0,745664.0,10300205
Bahrain,728053,1573,726036,444,408105,882,10919039.0,6120596.0,1783983
Bangladesh,2045517,29477,1998448,17592,12184,176,15254399.0,90862.0,167885689
Bhutan,62697,21,61564,1112,79571,27,2303734.0,2923739.0,787941
Brunei,310522,225,243601,66696,697127,505,717784.0,1611437.0,445431
Cambodia,138940,3056,135884,0,8093,178,3091420.0,180062.0,17168639
China,503302,5272,379053,118977,347,4,160000000.0,110461.0,1448471400
Cyprus,660854,1364,659490,0,540184,1115,9640118.0,7879860.0,1223387
DPRK,4772813,74,4772739,0,183636,3,,,25990679
Georgia,1855289,17132,1776548,61609,467476,4317,16920079.0,4263340.0,3968738
Hong Kong,2919340,14234,2902259,2847,383907,1872,76127725.0,10011143.0,7604299
India,44998294,531930,44465783,581,31990,378,930797975.0,661721.0,1406631776
Indonesia,6813429,161918,6646827,4684,24409,580,114158919.0,408975.0,279134505
Iran,7615822,146364,7377233,92225,88533,1701,57320267.0,666338.0,86022837
Iraq,2465545,25375,2439497,673,58474,602,19544451.0,463523.0,42164965
Israel,4835954,12651,4798473,24830,518545,1357,41373364.0,4436346.0,9326000
Japan,33803572,74694,N/A,N/A,269169,595,100414883.0,799578.0,125584838
Jordan,1746997,14122,1731007,1868,169597,1371,17201885.0,1669945.0,10300869
Kazakhstan,1411831,13848,1383020,14963,73514,721,11575012.0,602707.0,19205043
Kuwait,666206,2570,660237,3399,152091,587,8455743.0,1930391.0,4380326
Kyrgyzstan,206897,2991,196406,7500,30750,445,1907195.0,283460.0,6728271
Laos,218861,758,N/A,N/A,29255,101,1233207.0,164845.0,7481023
Lebanon,1239904,10947,1087587,141370,185480,1638,4795578.0,717380.0,6684849
Macao,16716,123,3487,13106,25043,184,7850.0,11760.0,667490
Malaysia,5125209,37171,5076796,11242,154462,1120,68473032.0,2063617.0,33181072
Maldives,186694,316,163687,22691,345100,584,2213831.0,4092223.0,540985
Mongolia,1010975,2179,1008796,0,299275,645,4030048.0,1193000.0,3378078
Myanmar,641228,19495,619922,1811,11611,353,11236883.0,203467.0,55227143
Nepal,1003434,12031,991322,81,33198,398,6047766.0,200088.0,30225582
Oman,399449,4628,384669,10152,75028,869,25000000.0,4695724.0,5323993
Pakistan,1581817,30664,1538689,12464,6893,134,30589153.0,133292.0,229488994
Palestine,621008,5404,615445,159,116173,1011,3078533.0,575907.0,5345541
Philippines,4174101,66643,4103828,3630,37100,592,35659012.0,316944.0,112508994
Qatar,514524,690,513687,147,172664,232,4065369.0,1364257.0,2979915
S. Korea,34571873,35934,34535939,0,673523,700,15804065.0,307892.0,51329899
Saudi Arabia,841469,9646,827923,3900,23475,269,45481735.0,1268848.0,35844909
Singapore,2560028,1875,2149583,408570,430724,315,24756666.0,4165302.0,5943546
Sri Lanka,672583,16882,655698,3,31173,782,6486117.0,300619.0,21575842
Syria,57743,3165,54578,0,2982,163,146269.0,7553.0,19364809
Taiwan,10241520,19005,10222515,0,428720,796,30742304.0,1286903.0,23888595
Tajikistan,17786,125,17264,397,1786,13,,,9957464
Thailand,4757049,34471,4692636,29942,67882,492,17270775.0,246450.0,70078203
Timor-Leste,23460,138,23102,220,17131,101,278529.0,203391.0,1369429
Turkey,17232066,102174,N/A,N/A,201399,1194,162743369.0,1902052.0,85561976
UAE,1067030,2349,1054525,10156,105837,233,200732262.0,19910389.0,10081785
Uzbekistan,253662,1637,241486,10539,7378,48,1377915.0,40077.0,34382084
Vietnam,11623485,43206,10640726,939553,117464,437,85826548.0,867342.0,98953541
Yemen,11945,2159,9124,662,383,69,329592.0,10579.0,31154867
