Region,Outlier
West,36.0
West,27.0
West,119.0
West,26.0
West,29.0
West,27.0
West,37.0
West,59.0
West,59.0
West,31.0
West,34.0
West,26.0
West,27.0
West,27.0
West,27.0
West,2441.0
West,2002.0
West,984.0
West,681.0
West,829.0
West,1293.0
West,940.0
West,902.0
West,621.0
West,508.0
West,318.0
West,420.0
West,397.0
West,580.0
West,584.0
West,513.0
West,520.0
West,177.0
West,396.0
West,426.0
West,416.0
West,366.0
West,519.0
West,102.0
West,175.0
West,328.0
West,144.0
West,270.0
West,282.0
West,403.0
West,252.0
West,87.0
West,276.0
West,342.0
West,763.0
West,386.0
West,361.0
West,108.0
West,40.0
West,36.0
West,284.0
West,247.0
West,316.0
West,405.0
West,215.0
West,82.0
West,281.0
West,281.0
West,53.0
West,72.0
West,37.0
West,69.0
West,36.0
West,35.0
West,54.0
West,28.0
West,43.0
West,34.0
West,47.0
West,53.0
West,27.0
West,283.0
West,308.0
West,180.0
West,86.0
West,68.0
West,155.0
West,329.0
West,204.0
West,231.0
West,152.0
West,116.0
West,385.0
West,127.0
West,493.0
West,163.0
West,149.0
West,268.0
West,162.0
West,233.0
West,71.0
West,92.0
West,34.0
West,273.0
West,29.0
West,60.0
West,376.0
West,90.0
West,71.0
West,61.0
West,56.0
West,32.0
West,65.0
West,149.0
West,131.0
West,260.0
West,54.0
West,112.0
West,35.0
West,36.0
West,69.0
West,107.0
West,110.0
West,61.0
West,93.0
West,132.0
West,244.0
West,115.0
West,163.0
West,74.0
West,70.0
West,26.0
West,29.0
West,131.0
West,46.0
West,61.0
West,49.0
West,26.0
West,67.0
West,158.0
West,54.0
West,76.0
West,42.0
West,42.0
West,38.0
West,188.0
West,53.0
West,26.0
West,26.0
West,66.0
West,74.0
West,54.0
West,95.0
West,100.0
West,26.0
West,103.0
West,56.0
West,34.0
West,29.0
West,35.0
West,45.0
West,40.0
West,40.0
West,32.0
West,30.0
West,29.0
West,119.0
West,198.0
West,64.0
West,61.0
West,97.0
West,53.0
West,81.0
West,62.0
West,99.0
West,62.0
West,63.0
West,87.0
West,37.0
West,45.0
West,34.0
West,39.0
West,48.0
West,27.0
West,28.0
West,147.0
West,176.0
West,65.0
West,211.0
West,135.0
West,154.0
West,151.0
West,212.0
West,195.0
West,171.0
West,110.0
West,170.0
West,158.0
West,171.0
West,106.0
West,102.0
West,96.0
West,222.0
West,112.0
West,102.0
West,84.0
West,105.0
West,77.0
West,52.0
West,98.0
West,96.0
West,91.0
West,107.0
West,37.0
West,57.0
West,90.0
West,64.0
West,66.0
West,62.0
West,73.0
West,50.0
West,50.0
West,30.0
West,27.0
West,63.0
West,63.0
West,30.0
West,27.0
West,32.0
West,28.0
West,40.0
West,49.0
West,65.0
West,34.0
West,50.0
West,56.0
West,44.0
West,45.0
West,49.0
West,37.0
West,64.0
West,30.0
West,60.0
West,57.0
West,36.0
West,85.0
West,27.0
West,47.0
West,29.0
West,51.0
West,50.0
West,57.0
West,40.0
West,53.0
West,41.0
West,29.0
West,29.0
West,30.0
West,73.0
West,37.0
West,43.0
West,27.0
West,33.0
West,111.0
West,72.0
West,181.0
West,152.0
West,88.0
West,254.0
West,167.0
West,106.0
West,46.0
West,97.0
West,82.0
West,113.0
West,73.0
West,120.0
West,51.0
West,114.0
West,79.0
West,88.0
West,74.0
West,72.0
West,90.0
West,85.0
West,40.0
West,54.0
West,47.0
West,75.0
West,96.0
West,39.0
West,43.0
West,28.0
West,53.0
West,50.0
West,36.0
West,55.0
West,49.0
West,43.0
West,34.0
West,31.0
West,46.0
West,39.0
West,36.0
West,46.0
West,35.0
West,61.0
West,35.0
West,26.0
West,64.0
West,66.0
West,26.0
West,46.0
West,37.0
West,26.0
West,28.0
West,32.0
West,26.0
West,27.0
West,71.0
West,28.0
West,29.0
West,35.0
West,39.0
West,40.0
West,39.0
West,56.0
West,30.0
West,33.0
West,28.0
West,32.0
West,26.0
West,31.0
West,29.0
West,27.0
West,47.0
West,50.0
West,26.0
West,47.0
West,49.0
West,71.0
West,37.0
West,39.0
West,35.0
West,56.0
West,42.0
West,52.0
West,84.0
West,48.0
West,42.0
West,52.0
West,54.0
West,41.0
West,27.0
West,72.0
West,34.0
West,30.0
West,45.0
West,75.0
West,33.0
West,30.0
West,34.0
West,27.0
West,81.0
West,47.0
West,65.0
West,60.0
West,68.0
West,42.0
West,40.0
West,30.0
West,30.0
West,47.0
West,35.0
West,30.0
West,38.0
West,39.0
West,28.0
West,33.0
West,58.0
West,28.0
West,75.0
West,35.0
West,53.0
West,30.0
West,29.0
West,37.0
West,27.0
West,28.0
West,31.0
West,40.0
West,29.0
West,32.0
West,36.0
West,26.0
West,32.0
West,43.0
West,33.0
West,50.0
West,30.0
West,51.0
West,37.0
West,30.0
West,32.0
West,32.0
West,33.0
West,28.0
West,32.0
West,27.0
West,32.0
West,33.0
West,26.0
West,28.0
West,32.0
West,38.0
West,28.0
West,30.0
West,31.0
West,27.0
West,26.0
West,68.0
West,97.0
West,51.0
West,55.0
West,91.0
West,38.0
West,35.0
West,27.0
West,31.0
West,36.0
West,39.0
West,28.0
West,28.0
West,31.0
West,90.0
West,63.0
West,70.0
West,41.0
West,38.0
West,57.0
West,83.0
West,28.0
West,34.0
West,99.0
West,48.0
West,61.0
West,28.0
West,86.0
West,74.0
West,226.0
West,32.0
West,74.0
West,40.0
West,70.0
West,136.0
West,104.0
West,58.0
West,46.0
West,37.0
West,108.0
West,122.0
West,28.0
West,64.0
West,150.0
West,30.0
West,26.0
West,27.0
West,26.0
West,184.0
West,33.0
West,27.0
West,32.0
West,26.0
West,38.0
West,33.0
West,32.0
West,29.0
West,49.0
West,30.0
West,37.0
West,28.0
West,34.0
West,34.0
West,46.0
West,29.0
West,39.0
West,30.0
West,32.0
West,39.0
West,26.0
West,34.0
West,32.0
West,27.0
West,27.0
West,40.0
West,34.0
West,229.0
West,177.0
West,161.0
West,40.0
West,54.0
West,27.0
West,26.0
West,50.0
West,31.0
West,241.0
West,304.0
West,143.0
West,82.0
West,154.0
West,357.0
West,163.0
West,187.0
West,124.0
West,136.0
West,105.0
West,129.0
West,157.0
West,197.0
West,164.0
West,146.0
West,142.0
West,115.0
West,86.0
West,120.0
West,116.0
West,291.0
West,187.0
West,69.0
West,67.0
West,114.0
West,105.0
West,104.0
West,170.0
West,110.0
West,103.0
West,79.0
West,130.0
West,123.0
West,102.0
West,132.0
West,184.0
West,58.0
West,107.0
West,144.0
West,127.0
West,170.0
West,159.0
West,149.0
West,157.0
West,115.0
West,224.0
West,177.0
West,102.0
West,27.0
West,40.0
West,46.0
West,49.0
West,49.0
West,35.0
West,43.0
West,80.0
West,77.0
West,79.0
West,39.0
West,38.0
West,26.0
West,65.0
West,52.0
West,40.0
West,54.0
West,58.0
West,29.0
West,31.0
West,118.0
West,88.0
West,91.0
West,28.0
West,29.0
West,32.0
West,28.0
West,37.0
West,34.0
West,28.0
West,27.0
